pitcher_id,player,mean_arm_angle
434378,"Verlander, Justin",54.39892120075047
445276,"Jansen, Kenley",52.56321112515803
445926,"Chavez, Jesse",21.139766081871347
448179,"Hill, Rich",35.539181286549706
450203,"Morton, Charlie",21.186106271777003
453286,"Scherzer, Max",32.87041860465116
455119,"Martin, Chris",41.44858223062382
458677,"Wilson, Justin",51.52055800293686
471911,"Carrasco, Carlos",34.54910025706941
472610,"García, Luis",44.01130653266332
476594,"Stock, Robert",5.461016949152542
477132,"Kershaw, Clayton",55.587253521126755
489119,"Miley, Wade",49.6190243902439
489446,"Yates, Kirby",19.26726457399103
493603,"Ottavino, Adam",24.716666666666665
500743,"Rojas, Miguel",42.59710144927536
500779,"Quintana, Jose",41.56023738872404
502043,"Gibson, Kyle",44.044285714285714
502085,"Robertson, David",43.391176470588235
506433,"Darvish, Yu",31.706521739130434
518397,"Alexander, Scott",35.32619808306709
518489,"Brasier, Ryan",38.50470297029703
518585,"Cruz, Fernando",48.782930756843804
518876,"Kelly, Merrill",23.786704980842913
518886,"Kimbrel, Craig",23.10181818181818
519008,"McFarland, T.J.",13.788970588235294
519141,"Pomeranz, Drew",39.61961077844312
519151,"Pressly, Ryan",55.65098335854766
519242,"Sale, Chris",8.317270531400967
519326,"Strickland, Hunter",34.76626506024096
521230,"Hendriks, Liam",47.0823275862069
527048,"Pérez, Martín",46.79595015576324
534910,"Hahn, Jesse",25.21645569620253
541640,"Ramírez, Erasmo",32.53291139240506
542881,"Anderson, Tyler",54.61967423917702
542888,"Armstrong, Shawn",41.19478723404255
542932,"Berti, Jon",60.311764705882354
543056,"Coulombe, Danny",57.0929012345679
543101,"DeSclafani, Anthony",34.91843575418994
543135,"Eovaldi, Nathan",32.419300991131976
543243,"Gray, Sonny",47.58868971404183
543294,"Hendricks, Kyle",42.830569251456744
543391,"Kelly, Casey",52.50833333333333
543518,"McGough, Scott",45.105988023952094
543592,"Nola, Austin",20.386206896551727
543859,"Tonkin, Michael",14.340972222222222
544150,"Suárez, Albert",37.467213114754095
547001,"Poteet, Cody",36.8014705882353
547179,"Lorenzen, Michael",42.078414322250644
547184,"Kelly, Michael",35.8437969924812
547973,"Chapman, Aroldis",52.417662337662335
548384,"Raley, Brooks",30.96385542168675
552640,"Kittredge, Andrew",40.89054054054054
554340,"García, Yimi",27.06117318435754
554430,"Wheeler, Zack",23.218543323566344
554431,"Matzek, Tyler",45.44173228346457
570632,"Ureña, José",29.6603550295858
571466,"Barnhart, Tucker",48.26363636363636
571510,"Boyd, Matthew",25.294178794178794
571578,"Corbin, Patrick",36.746880570409985
571657,"Farmer, Kyle",43.18571428571429
571760,"Heaney, Andrew",24.463883399209486
571771,"Hernández, Enrique",60.539199999999994
571912,"Maile, Luke",
571927,"Matz, Steven",34.493668528864056
571945,"Mikolas, Miles",42.393423507462686
571946,"Miller, Shelby",43.91349431818182
571948,"Milner, Hoby",-6.099100899100899
572955,"Johnson, Pierce",39.14484412470024
573009,"Mantiply, Joe",15.798952879581151
573124,"Rogers, Taylor",29.457286432160803
573186,"Stroman, Marcus",33.16164772727273
573204,"Thielbar, Caleb",55.65867768595041
573262,"Yastrzemski, Mike",54.07619047619047
579328,"Kikuchi, Yusei",36.271480014404034
592094,"Adam, Jason",37.60183992640294
592155,"Booser, Cam",36.71853281853282
592332,"Gausman, Kevin",36.678028592927014
592351,"Gray, Jon",28.106666666666666
592426,"Jackson, Luke",50.806482982171794
592454,"Kahnle, Tommy",33.02362385321101
592662,"Ray, Robbie",45.63166189111748
592773,"Stanek, Ryne",49.2602422907489
592779,"Stewart, Brock",25.25639344262295
592791,"Taillon, Jameson",46.47079538554948
592836,"Walker, Taijuan",40.73468926553672
592866,"Williams, Trevor",16.335635359116022
593423,"Montas, Frankie",47.02161016949153
593576,"Neris, Héctor",38.652102376599636
593833,"Suero, Wander",35.95070422535211
593958,"Rodriguez, Eduardo",39.97804328223625
593974,"Peralta, Wandy",45.48029556650246
594580,"Moll, Sam",13.320481927710842
594798,"deGrom, Jacob",30.978745028722933
594902,"Lively, Ben",36.90239520958084
595014,"Treinen, Blake",33.347262247838614
595345,"Okert, Steven",34.79300546448087
595897,"Burdi, Nick",14.428915662650601
595928,"Curtiss, John",41.52766990291263
595978,"Hedges, Austin",19.139285714285712
596001,"Junis, Jakob",27.31419213973799
596103,"Slater, Austin",
596112,"Stephenson, Robert",48.62467532467532
596133,"Weaver, Luke",47.05770089285714
596142,"Sánchez, Gary",30.942105263157895
596271,"Lawrence, Casey",19.602173913043476
596295,"Gomber, Austin",53.21901901901902
600917,"Leclerc, José",38.76754385964912
601713,"Pivetta, Nick",56.41605324980423
605130,"Barlow, Scott",22.661813426329555
605135,"Bassitt, Chris",32.25148936170213
605154,"Brebbia, John",38.772946859903385
605177,"Chafin, Andrew",51.75857885615252
605182,"Clevinger, Mike",41.02543859649123
605218,"Edwards Jr., Carl",56.41818181818182
605242,"Fulmer, Michael",41.672222222222224
605280,"Holmes, Clay",43.6003343083995
605288,"Houser, Adrian",36.57782987273945
605347,"López, Jorge",40.10671834625323
605400,"Nola, Aaron",19.67065669160432
605447,"Romano, Jordan",49.91426533523538
605452,"Ross, Joe",34.57401392111369
605463,"Scott, Tayler",12.868656716417911
605483,"Snell, Blake",55.86806136680614
605488,"Springs, Jeffrey",42.90552570990023
605507,"Thompson, Zach",47.80333333333333
605513,"Turnbull, Spencer",24.017599999999998
605540,"Woodruff, Brandon",44.032222222222224
606160,"Montero, Rafael",34.032051282051285
606303,"Payamps, Joel",30.531481481481485
